date,date,symbol,open,high,low,close,Volume USD,Volume BTC,hourly_log_returns,rolling_vol,ewma_vol,ewma_vol_step,positive_directional_movement,negative_directional_movement,atr,positive_directional_indicator,negative_directional_indicator,dx,adx,cross_over,trade_cycle,trade_group,u1,u0,u11,u10,u01,u00,expected_profit,trade_profit,Cumulative_profits,Cumulative_expected_profit
2018-06-05 22:00:00,05-06-18 22:00,BTC/USD,7596.1,7627.9,7596.1,7627.9,1756976.15,230.85,0.004177620369041324,0.005265112328865721,0.005324503791386319,40.6147824703157,0.0,45.900000000000546,46.85083333333345,0.2632468294765303,0.29136799416588105,5.070395433116287,47.794294471930726,-1,-1.0,10,,1,,,1,,495.99999936215545,14999,164989,5455.999992983709
2018-06-09 16:00:00,09-06-18 16:00,BTC/USD,7620.6,7620.9,7580.0,7587.6,1774564.64,233.35,-0.004339770885760965,0.004426062879398259,0.002865056677737886,21.738904048003985,0.0,0.0,23.475000000000062,0.16015264465743417,0.14936102236421783,3.4866383759594735,20.01858809771301,1,1.0,11,1,,1,,,,495.99999936215545,14999,179988,5951.999992345864
2018-06-14 02:00:00,14-06-18 02:00,BTC/USD,6313.2,6535.8,6313.2,6471.1,20592787.46,3195.06,0.024703429975145238,0.0072781352440185335,0.008652042778905215,55.988234026573544,197.69999999999982,0.0,86.075,0.16036402362280988,0.15446800271081396,1.872751314616252,47.75559971635949,1,1.0,12,,,,,,,495.99999936215545,14999,194987,6447.999991708019
2018-06-14 03:00:00,14-06-18 03:00,BTC/USD,6471.1,6498.0,6458.4,6487.9,4626651.83,714.33,0.002592794106275544,0.007280201094024752,0.00850035703700645,55.14946642039414,0.0,145.19999999999982,86.70833333333337,0.1591926958193179,0.22311388755406011,16.719877322205015,46.312308154463615,-1,-1.0,13,,1,,,1,,495.99999936215545,14999,209986,6943.999991070174
2018-06-14 16:00:00,14-06-18 16:00,BTC/USD,6350.0,6555.2,6349.9,6521.1,17304613.17,2679.51,0.026588260460191988,0.007555582055263239,0.009576075923146656,62.44654870243166,136.19999999999982,0.0,77.28500000000004,0.2745250264173732,0.2283862759051992,9.174331596663967,27.40690557476701,1,1.0,14,1,,1,,,,495.99999936215545,14999,224985,7439.999990432329
2018-06-23 14:00:00,23-06-18 14:00,BTC/USD,6137.6,6137.7,6077.0,6100.5,7167968.59,1174.38,-0.006063051233675496,0.0063686403285110795,0.007748286099407752,47.26841934943699,0.0,0.0,76.9333333333334,0.16177426343154225,0.1466637781629111,4.899034240562006,25.406346589052777,1,1.0,15,,1,,,1,,495.99999936215545,14999,239984,7935.999989794484
2018-06-26 14:00:00,26-06-18 14:00,BTC/USD,6176.5,6205.9,6121.0,6179.9,9518559.53,1543.59,0.0005503221141770686,0.007801120165736267,0.00813466766812129,50.271432722222755,0.0,0.0,40.809166666666705,0.09556676400318584,0.22931939311020824,41.16907605279689,25.10755818428687,-1,-1.0,16,,1,,,1,,495.99999936215545,14999,254983,8431.999989156639
2018-06-26 20:00:00,26-06-18 20:00,BTC/USD,6168.1,6189.0,6168.0,6181.0,1513181.8,244.83,0.00208922183676711,0.007622506628584241,0.007276704161960062,44.977308425075144,9.300000000000182,0.0,38.79333333333333,0.1298547860457139,0.12880219969066858,0.40694294493870486,20.689069043123215,1,1.0,17,1,,,1,,,495.99999936215545,14999,269982,8927.999988518794
2018-06-28 15:00:00,28-06-18 15:00,BTC/USD,6114.0,6114.1,6098.0,6101.73,3581977.27,586.63,-0.0020088859407377435,0.00769048595175375,0.00427707878762115,26.097579950791598,0.0,33.600000000000364,33.16875000000016,0.16688650210413883,0.18792789397650858,5.930253142149045,23.931868321243858,-1,-1.0,18,,,,,,,495.99999936215545,14999,284981,9423.999987880949
2018-06-28 16:00:00,28-06-18 16:00,BTC/USD,6101.73,6109.0,6100.0,6102.3,1579193.25,258.72,9.341176650915853e-05,0.007477150102046515,0.004192642019160753,25.584759393524664,0.0,2.0,31.693750000000176,0.17465325708275767,0.14448169328863464,9.454170957775377,23.025150414145205,1,1.0,19,,1,,,,1,495.99999936215545,14999,299980,9919.999987243104
2018-06-29 05:00:00,29-06-18 05:00,BTC/USD,5854.7,5960.0,5780.0,5900.1,17870949.74,3047.57,0.007724542441523997,0.007648616495253628,0.00605002463212785,35.69575033201753,78.69999999999982,0.0,47.45666666666674,0.11576350354709652,0.07001123832268004,24.62781794980917,20.232572648384245,1,1.0,20,,1,,,1,,495.99999936215545,14999,314979,10415.999986605259
2018-06-29 22:00:00,29-06-18 22:00,BTC/USD,5922.2,6302.0,5921.5,6255.4,40430338.02,6565.81,0.05473708923183806,0.008444740685669925,0.011857695069183624,74.17462573577123,367.0,0.0,62.824999999999896,0.35108767741079766,0.16349648494495286,36.45490984546785,21.76371280383896,1,1.0,21,,1,,,1,,495.99999936215545,14999,329978,10911.999985967414
2018-07-01 02:00:00,01-07-18 02:00,BTC/USD,6353.14,6359.9,6336.0,6345.3,396747.83,62.52,-0.0012347975020795612,0.008581408906956413,0.008134963834634905,51.61878601990886,0.0,13.100000000000364,40.0366666666666,0.20606111064857344,0.08733660810923342,40.46538024971639,20.55215164813401,1,1.0,22,1,,,1,,,495.99999936215545,14999,344977,11407.999985329569
2018-07-01 23:00:00,01-07-18 23:00,BTC/USD,6365.9,6390.7,6345.4,6349.7,5625833.16,883.46,-0.0025480525913006164,0.008622392828489634,0.005932320014510003,37.668452396134164,0.0,0.0,40.64624999999993,0.16360672878801924,0.18380129368228043,5.812924166420955,27.224448321829005,-1,-1.0,23,,,,,,,495.99999936215545,14999,359976,11903.999984691724
2018-07-02 00:00:00,02-07-18 00:00,BTC/USD,6349.7,6363.3,6322.0,6341.3,3645356.97,574.95,-0.0013237729456563301,0.008622522933087693,0.005823776802554599,36.93031583803948,0.0,0.0,39.1670833333333,0.16978542781459824,0.16457271731151887,1.5590200445433067,25.671604309248682,1,1.0,24,,1,,,,1,495.99999936215545,14999,374975,12399.999984053879
